"Make","Model","Variant","Price","Displacement","Cylinders","Drivetrain","Fuel_System","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Power","Torque","Type","Wheelbase"
"Datsun","Go","T","468,229","1198","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1507","3788","1636","5","","20.1","68","104","Manual","2450"
"Datsun","Go","T (O)","502,492","1198","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1507","3788","1636","5","20.6","20.1","68","104","Manual","2450"
"Datsun","Go","A (O)","499,990","1198","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1507","3788","1636","5","20.6","20.1","68","104","Manual","2450"
"Datsun","Go","A","469,990","1198","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1507","3788","1636","5","20.6","20.1","68","104","Manual","2450"
"Datsun","Go","T Vdc","528,464","1198","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1507","3788","1636","5","","20.1","68","104","Manual","2450"
"Datsun","Go","T (O) Vdc","553,015","1198","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1507","3788","1636","5","20.6","20.1","68","104","Manual","2450"
"Datsun","Go","T Cvt","594,464","1198","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1507","3788","1636","5","","20.1","78","104","Manual","2450"
"Datsun","Go","T (O) Cvt","618,015","1198","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1507","3788","1636","5","20.6","20.1","78","104","Manual","2450"
"Maruti Suzuki","Celerio Tour","H2","422,444","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3600","1600","5","23","23.1","68","90","Manual","2425"
"Maruti Suzuki","Celerio Tour","H2 Cng","480,670","998","3","FWD (Front Wheel Drive)","Injection","60","CNG","1560","3695","1600","5","","","59","78","Manual","2425"
"Hyundai","Santro","Era Mt","429,990","1086","4","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3610","1645","4","","20.3","69","99.04","Manual","2400"
"Hyundai","Santro","Magna Mt","503,990","1086","4","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3610","1645","4","","20.3","69","99.04","Manual","2400"
